,Kanji,Onyomi,Kunyomi,English,Examples,JLPT Level,Number of Strokes,Kanji Radical,Radical Number,Radical Strokes,Radical Reading
567,然,ゼン、ネン,しか、しか.り、しか.し、さ,"sort of thing, so, if so, in that case, well","自然(しぜん): (1) nature; spontaneity (2) naturally; spontaneously<br>当然(とうぜん): natural; as a matter of course<br>依然(いぜん): still; as yet; as it has been<br>天然(てんねん): (1) nature; spontaneity (2) natural airhead<br>突然(とつぜん): abrupt; sudden; unexpected; all at once<br>偶然(ぐうぜん): (by) chance; unexpectedly; suddenly; accident; fortuity<br>全然(ぜんぜん): (1) not at all (with neg. verb) (2) wholly; entirely; completely<br>公然(こうぜん): open (e.g. secret); public; official; overt<br>自然科学(しぜんかがく): natural science<br>断然(だんぜん): firmly; absolutely; definitely<br>必然(ひつぜん): (1) inevitable; necessary; certain; sure (2) inevitability; necessity<br>漠然(ばくぜん): obscure; vague; equivocal<br>然し(しかし): however; but<br>然して(そして): and; and then; thus; and now<br>然も(しかも): moreover; furthermore; nevertheless; and yet<br>然うして(そうして): and; like that<br>然う(そう): (1) in that way (concerning the actions of the listener or concerning the ideas expressed or understood by the listener; with a neg. sentence, implies that something isn't as much as one might think); thus; such (2) so (used to express agreement with something said) (3) so? (used to express some doubt with something said)<br>整然(せいぜん): orderly; regular; systematic; well-organized; well-organised; trim; tidy; accurate<br>然も(さも): (1) really; extremely (2) in that way<br>然程(さほど): not so; not particularly; not very; not that much<br>呆然(ぼうぜん): dumbfounded; overcome with surprise; in blank amazement; in a daze",3,12.0,火,86.0,4.0,ひ・ひへん・れっか・れんが
568,焼,ショウ,や.く、や.き、や.き-、-や.き、や.ける,"bake, burning","燃焼(ねんしょう): burning; combustion<br>日焼け(ひやけ): (1) sunburn (2) suntan<br>夕焼け(ゆうやけ): sunset<br>焼く(やく): (1) to bake; to grill (2) to develop (photos) (3) to suntan (4) to burn (in flames, down, CD, DVD, etc.); to scorch (5) to be jealous; to be envious<br>焼ける(やける): (1) to burn; to be roasted; to be heated; to be sunburnt; to fade (in the sun); to glow red (i.e. of the sky at sunset) (2) to be jealous; to be envious",2,12.0,火,86.0,4.0,ひ・ひへん・れっか・れんが
569,照,ショウ,て.る、て.らす、て.れる,"illuminate, shine, compare, bashful","参照(さんしょう): reference; bibliographical reference; consultation; browsing (e.g. when selecting a file to upload on a computer); checking out<br>照明(しょうめい): illumination; lighting<br>対照(たいしょう): contrast; antithesis; comparison<br>照らす(てらす): to shine on; to illuminate<br>照る(てる): (1) to shine (2) to look slightly upward (of a noh mask; indicating joy, etc.)<br>照合(しょうごう): collation; comparison<br>照り返す(てりかえす): to reflect; to throw back light",2,13.0,火,86.0,4.0,ひ・ひへん・れっか・れんが
570,熱,ネツ,あつ.い,"heat, temperature, fever, mania, passion",熱(ねつ): (1) heat (2) fever; temperature (3) zeal; passion; enthusiasm (4) mania; craze; rage<br>熱心(ねっしん): zeal; enthusiasm<br>熱帯(ねったい): tropics<br>情熱(じょうねつ): passion; enthusiasm; zeal<br>熱意(ねつい): zeal; enthusiasm<br>熱い(あつい): hot (thing)<br>熱湯(ねっとう): boiling water<br>熱する(ねっする): to heat; to heat up<br>加熱(かねつ): heating; application of heat<br>光熱費(こうねつひ): cost of fuel and lighting; cost of heat and electricity; energy bill; utility cost<br>熱中(ねっちゅう): nuts!; enthusiasm; zeal; mania<br>熱量(ねつりょう): calorific value; quantity of heat; calorie,3,15.0,火,86.0,4.0,ひ・ひへん・れっか・れんが
571,牧,ボク,まき,"breed, care for, shepherd, feed, pasture","牧場(まきば): (1) farm (livestock); ranch (US); station (Aus, NZ) (2) pasture land; meadow; grazing land<br>牧師(ぼくし): pastor; minister; clergyman; reverend<br>遊牧(ゆうぼく): nomadism<br>牧畜(ぼくちく): stock-farming",1,8.0,牛,93.0,4.0,うし
572,特,トク,,special,"特に(とくに): particularly; especially<br>特別(とくべつ): special<br>特徴(とくちょう): feature; trait; characteristic; pecularity<br>特定(とくてい): specific; special; particular<br>特殊(とくしゅ): special; unique<br>独特(どくとく): peculiarity; uniqueness; characteristic<br>特集(とくしゅう): feature (e.g. newspaper); special edition; report<br>特色(とくしょく): (1) characteristic; feature; idiosyncrasy; personal colour (2) spot color (in printing)<br>特許(とっきょ): (1) patent; special permission; licence (license); concession; franchise; charter (2) proprietary<br>特有(とくゆう): characteristic (of); peculiar (to)<br>特急(とっきゅう): (1) limited express (train, faster than an express) (2) great hurry<br>特権(とっけん): privilege; special right<br>特産(とくさん): specialty; special product<br>特技(とくぎ): special skill<br>特売(とくばい): special sale<br>特長(とくちょう): forte; merit<br>特派(とくは): send specially; special envoy",4,10.0,牛,93.0,4.0,うし
573,産,サン,う.む、う.まれる、うぶ-、む.す,"products, bear, give birth, yield, childbirth, native, property",産業(さんぎょう): industry<br>生産(せいさん): production; manufacture<br>資産(しさん): property; fortune; means; assets<br>不動産(ふどうさん): real estate<br>財産(ざいさん): property; fortune; assets<br>国産(こくさん): domestic products<br>出産(しゅっさん): (child)birth; delivery; production (of goods)<br>倒産(とうさん): (corporate) bankruptcy; insolvency; commercial failure; failed business<br>産地(さんち): producing area<br>水産(すいさん): aquatic products; fisheries<br>破産(はさん): bankruptcy; insolvency<br>土産(みやげ): present; souvenir<br>産婦人科(さんふじんか): maternity and gynaecology department (gynecology); department of obstetrics and gynaecology (gynecology)<br>産物(さんぶつ): product; result; fruit<br>特産(とくさん): specialty; special product<br>共産(きょうさん): (1) communism (2) Communist Party<br>農産物(のうさんぶつ): agricultural produce<br>畜産(ちくさん): animal husbandry<br>原産(げんさん): place of origin; habitat<br>お産(おさん): (giving) birth; childbirth; delivery; confinement<br>お土産(おみやげ): present; souvenir<br>産休(さんきゅう): maternity leave<br>産後(さんご): postpartum; after childbirth<br>産出(さんしゅつ): yield; produce<br>名産(めいさん): noted product; local specialty<br>土産(どさん): (1) product of the land (2) present; souvenir<br>産(さん): (1) (giving) birth; childbirth; delivery; confinement (2) native of; product of (3) assets; property; fortune,4,11.0,生,100.0,5.0,うむ・うまれる・いきる
574,的,テキ,まと,"bull's eye, mark, target, object, adjective ending",積極的(せっきょくてき): assertive; positive; active; proactive<br>目的(もくてき): purpose; goal; aim; objective; intention<br>消極的(しょうきょくてき): negative; half-hearted; passive; unmotivated; pessimistic<br>知的(ちてき): intellectual<br>比較的(ひかくてき): comparative; relative<br>先天的(せんてんてき): a priori; inborn; innate; inherent; congenital; hereditary<br>的(てき): -like; typical<br>的(まと): mark; target<br>動的(どうてき): dynamic; kinetic<br>静的(せいてき): static,2,8.0,白,106.0,5.0,しろ・しろへん
575,省,セイ、ショウ,かえり.みる、はぶ.く,"focus, government ministry, conserve",反省(はんせい): reflection; reconsideration; introspection; meditation; contemplation<br>省略(しょうりゃく): omission; abbreviation; abridgment; abridgement<br>省く(はぶく): (1) to omit; to leave out; to exclude; to eliminate (2) to curtail; to save; to cut down; to economize; to economise<br>省(しょう): (1) ministry; department (2) province (of China) (3) saving; conserving,2,9.0,目,109.0,5.0,め・めへん・よこめ
576,祝,シュク、シュウ,いわ.う,"celebrate, congratulate",祝い(いわい): congratulation; congratulations; celebration; festival; congratulatory gift<br>祝日(しゅくじつ): national holiday<br>祝う(いわう): to congratulate; to celebrate; to observe (a festival)<br>祝賀(しゅくが): celebration; congratulations<br>お祝い(おいわい): congratulation; congratulations; celebration; festival; congratulatory gift,2,9.0,示,113.0,5.0,しめす・しめすへん
577,票,ヒョウ,,"ballot, label, ticket, sign",投票(とうひょう): voting; poll<br>票(ひょう): (1) vote; ballot (2) label; ticket; tag; stub,1,11.0,示,113.0,5.0,しめす・しめすへん
578,種,シュ,たね、-ぐさ,"species, kind, class, variety, seed",一種(いっしゅ): species; kind; variety<br>種類(しゅるい): (1) variety; kind; type; category (2) counter for different sorts of things<br>人種(じんしゅ): race (of people)<br>品種(ひんしゅ): (1) kind (of goods); brand (2) (taxonomical) form (3) breed; cultivar<br>種々(しゅじゅ): variety<br>各種(かくしゅ): every kind; all sorts<br>種(たね): (1) seed; pip; kind; variety; quality; tone (2) material; matter; subject; theme; (news) copy; leaven (bread) (3) cause; source; trick; secret; inside story<br>種(しゅ): (1) kind; variety (2) (biological) species (3) (logical) species,3,14.0,禾,115.0,5.0,のぎ・のぎへん
579,積,セキ,つ.む、-づ.み、つ.もる、つ.もり,"volume, product (x*y), acreage, contents, pile up, stack, load, amass","見積り(みつもり): estimate; estimation; valuation; quotation<br>積極的(せっきょくてき): assertive; positive; active; proactive<br>面積(めんせき): area<br>蓄積(ちくせき): accumulation; accumulate; store<br>積む(つむ): to pile up; to stack; to load (car, ship, etc.); to pack<br>容積(ようせき): capacity; volume<br>体積(たいせき): capacity; volume<br>積もり(つもり): (1) intention; plan (2) conviction; belief<br>積もる(つもる): (1) to pile up; to accumulate (2) to estimate",3,16.0,禾,115.0,5.0,のぎ・のぎへん
580,競,キョウ、ケイ,きそ.う、せ.る、くら.べる,"emulate, compete with, bid, sell at auction, bout, contest, race",競技(きょうぎ): game; match; contest<br>競争(きょうそう): (1) competition; contest (2) to compete<br>競馬(けいば): horse racing,2,20.0,立,117.0,5.0,たつ・たつへん
581,笑,ショウ,わら.う、え.む,laugh,笑い(わらい): (1) laugh; laughter (2) smile (3) sneer<br>笑顔(えがお): smiling face; smile<br>微笑(びしょう): smile<br>笑う(わらう): (1) to laugh (2) to smile (3) to sneer; to ridicule<br>可笑しい(おかしい): (1) funny; amusing; comical; laughable; ridiculous (2) strange; odd; funny; peculiar; weird; unusual; eccentric (3) improper; unsuitable; unbecoming (4) suspicious<br>微笑む(ほほえむ): to smile<br>あざ笑う(あざわらう): to sneer at; to ridicule,3,10.0,竹,118.0,6.0,たけ・たけかんむり
582,管,カン,くだ,"pipe, tube, wind instrument, drunken talk",管(くだ): pipe; tube<br>管理(かんり): control; management (e.g. of a business)<br>血管(けっかん): blood vessel<br>保管(ほかん): charge; custody; safekeeping; deposit; storage<br>只管(ひたすら): nothing but; earnest; intent; determined; set on (something),2,14.0,竹,118.0,6.0,たけ・たけかんむり
583,節,セツ、セチ,ふし、-ぶし、のっと,"node, season, period, occasion, verse, clause, stanza, honor, joint, knuckle, knob, knot, tune, melody",季節(きせつ): season<br>節(せつ): (1) occasion; time (2) section (of a literary work); paragraph; verse; stanza; passage (3) node (of a plant stem) (4) clause (5) (taxonomical) section<br>節約(せつやく): economising; saving<br>調節(ちょうせつ): regulation; adjustment; control<br>節(ふし): (1) joint; knuckle (2) tune; melody (3) knot (in wood); node in a bamboo stem (4) part; notable characteristic,2,13.0,竹,118.0,6.0,たけ・たけかんむり
584,粉,フン,デシメートル、こ、こな,"flour, powder, dust",粉(こな): flour; meal; powder<br>粉末(ふんまつ): fine powder<br>花粉(かふん): pollen<br>粉々(こなごな): in very small pieces,2,10.0,米,119.0,6.0,こめ・こめへん
585,紀,キ,,"chronicle, account, narrative, history, annals, geologic period",世紀(せいき): century; era,1,9.0,糸,120.0,6.0,いと・いとへん
586,約,ヤク,つづ.まる、つづ.める、つづま.やか,"promise, approximately, shrink",契約(けいやく): contract; compact; agreement<br>条約(じょうやく): treaty; pact<br>約束(やくそく): (1) arrangement; promise; appointment; pact; engagement (2) convention; rule<br>予約(よやく): (1) reservation; appointment; booking; advance order (2) contract; subscription; pledge<br>制約(せいやく): limitation; restriction; condition; constraints<br>婚約(こんやく): engagement; betrothal<br>節約(せつやく): economising; saving<br>規約(きやく): agreement; rules; code; protocol; convention<br>約(やく): (1) approximately; about (2) promise (3) shortening; reduction; simplification (4) contraction (in phonetics)<br>倹約(けんやく): thrift; economy; frugality,3,9.0,糸,120.0,6.0,いと・いとへん
587,結,ケツ、ケチ,むす.ぶ、ゆ.う、ゆ.わえる,"tie, bind, contract, join, organize, do up hair, fasten","""結果(けっか): (1) result; consequence; outcome; effect (2) coming to fruition; bearing fruit<br>結局(けっきょく): after all; eventually; in the end<br>結婚(けっこん): marriage<br>結論(けつろん): conclusion<br>結成(けっせい): formation; combination<br>結ぶ(むすぶ): (1) to tie; to bind; to link (2) to bear (fruit) (3) to close (e.g. deal); to confirm; to conclude (4) to close tightly; to purse (e.g. lips) (5) to unite (with); to ally; to join hands<br>結構(けっこう): (1) splendid; nice; wonderful; delicious; sweet (2) sufficient; fine (in the sense of """"I'm fine""""); (by implication) no thank you (3) well enough; OK; tolerable (4) reasonably; fairly; tolerably (5) construction; architecture<br>結核(けっかく): tuberculosis; tubercule<br>団結(だんけつ): unity; union; combination<br>結び(むすび): ending; conclusion; union<br>妥結(だけつ): settlement; an agreement<br>結晶(けっしょう): crystal; crystallization; crystallisation<br>結合(けつごう): combination; union; binding; catenation; coupling; joining<br>結びつき(むすびつき): connection; relation<br>結束(けっそく): union; unity<br>結びつく(むすびつく): to be connected or related; to join together<br>結びつける(むすびつける): to combine; to join; to tie on; to attach with a knot; to bind (e.g. an address)""",2,12.0,糸,120.0,6.0,いと・いとへん
588,給,キュウ,たま.う、たも.う、-たま.え,"salary, wage, gift, allow, grant, bestow on","供給(きょうきゅう): supply; provision<br>給与(きゅうよ): pay; salary; wages; allowance; grant; supply<br>給食(きゅうしょく): school lunch; providing a meal<br>給料(きゅうりょう): salary; wages<br>補給(ほきゅう): supply; supplying; replenishment<br>月給(げっきゅう): monthly salary<br>支給(しきゅう): provision; supply; payment; allowance; grant<br>配給(はいきゅう): (1) distribution (e.g. films, rice) (2) rationing (e.g. food, gasoline) (3) food ration<br>給仕(きゅうじ): (1) waiting on a table; serving (at dinner) (2) waiter; waitress; waitperson; server; cabin boy; bellboy; page; pageboy (3) office boy; office girl<br>給う(たまう): (1) to receive (2) to grant; to bestow; to award (3) semi-polite or endearing auxiliary verb indicating reception by the speaker (suffixed to the -masu stem of another verb)",3,12.0,糸,120.0,6.0,いと・いとへん
589,続,ゾク、ショク、コウ、キョウ,つづ.く、つづ.ける、つぐ.ない,"continue, series, sequel",手続(てつづき): procedure; (legal) process; formalities<br>連続(れんぞく): serial; consecutive; continuity; occurring in succession; continuing<br>継続(けいぞく): continuation<br>持続(じぞく): continuation<br>続々(ぞくぞく): successively; one after another<br>続き(つづき): sequel; continuation; (also suffix) continuation (in time and space); second series; succession; spell<br>相続(そうぞく): succession; inheritance<br>接続(せつぞく): (1) connection; attachment; union; join; joint; link (2) changing trains (3) conjunction<br>存続(そんぞく): duration; continuance<br>続く(つづく): (1) to continue; to last; to go on (2) to be unbroken (3) to occur again and again (4) to lead to; to connect to<br>続ける(つづける): to continue; to keep up; to keep on<br>接続詞(せつぞくし): conjunction,3,13.0,糸,120.0,6.0,いと・いとへん
590,置,チ,お.く、-お.き,"placement, put, set, deposit, leave behind, keep, employ, pawn",措置(そち): measure; measures; step<br>設置(せっち): (1) establishment; institution (2) installation (of a machine or equipment)<br>装置(そうち): equipment; installation; apparatus; device<br>位置(いち): place; situation; position; location<br>配置(はいち): arrangement (of resources); deployment; stationing; posting; disposition<br>処置(しょち): treatment; measure; step<br>放置(ほうち): leave as is; leave to chance; leave alone; neglect<br>物置(ものおき): storage room; storeroom; lumber room<br>前置き(まえおき): preface; introduction<br>置く(おく): (1) to put; to place (2) to leave (behind) (3) to do something in advance (usu. following te-form verb),3,13.0,网,122.0,6.0,あみ・あみがしら・あみめ・よこめ・よんかしら
591,老,ロウ,お.いる、ふ.ける,"old man, old age, grow old",老人(ろうじん): the aged; old person<br>老衰(ろうすい): senility; senile decay; infirmity (through age)<br>老い(おい): old age; old person; the old; the aged<br>老いる(おいる): to age; to grow old<br>老ける(ふける): to age; to grow old,3,6.0,老,125.0,6.0,おい・おいかんむり・おいがしら
592,胃,イ,,"stomach, paunch, crop, craw","""胃(い): (1) stomach (2) Chinese """"stomach"""" constellation (one of the 28 mansions)""",2,9.0,肉,130.0,6.0,にく・にくづき
593,脈,ミャク,すじ,"vein, pulse, hope","山脈(さんみゃく): mountain range<br>文脈(ぶんみゃく): context<br>脈(みゃく): (1) pulse (2) vein (3) chain (of mountains, etc.) (4) hope (5) thread (of an argument)",1,10.0,肉,130.0,6.0,にく・にくづき
594,腸,チョウ,はらわた、わた,"intestines, guts, bowels, viscera",腸(ちょう): guts; bowels; intestines,1,13.0,肉,130.0,6.0,にく・にくづき
595,臣,シン、ジン,,"retainer, subject",大臣(だいじん): cabinet minister<br>総理大臣(そうりだいじん): Prime Minister,2,7.0,臣,131.0,6.0,しん・おみ
596,航,コウ,,"navigate, sail, cruise, fly",航空(こうくう): aviation; flying<br>航海(こうかい): sail; voyage,2,10.0,舟,137.0,6.0,ふね・ふねへん
597,良,リョウ,よ.い、-よ.い、い.い、-い.い,"good, pleasing, skilled","良い(いい): (1) good; excellent; fine; nice; pleasant; agreeable (2) sufficient (can be used to turn down an offer); ready; prepared (3) profitable (e.g. deal, business offer, etc.); beneficial (4) OK<br>不良(ふりょう): badness; inferiority; delinquency; failure; defect; blemish<br>改良(かいりょう): improvement; reform<br>良好(りょうこう): favorable; favourable; satisfactory<br>良心(りょうしん): conscience<br>仲良し(なかよし): intimate friend; close friend; bosom buddy; chum<br>良識(りょうしき): good sense<br>良質(りょうしつ): good quality; superior quality<br>良く(よく): (1) nicely; properly; well; skillfully (2) frequently; often<br>善良(ぜんりょう): goodness; excellence; virtue<br>良し(よし): good; excellent; fine; nice; pleasant; agreeable",3,7.0,艮,138.0,6.0,うしとら・こん・こんづくり・ねづくり
598,芸,ゲイ、ウン,う.える、のり、わざ,"technique, art, craft, performance, acting, trick, stunt",芸術(げいじゅつ): (fine) art; the arts<br>芸能(げいのう): public entertainment; accomplishments; attainments<br>文芸(ぶんげい): literature; art and literature; belles-lettres<br>工芸(こうげい): industrial arts; craft<br>園芸(えんげい): horticulture; gardening<br>芸(げい): art; craft; accomplishment; artistic skill; technique; performance<br>学芸(がくげい): arts and sciences; liberal arts<br>手芸(しゅげい): handicrafts,2,7.0,艸,140.0,6.0,くさ・くさかんむり
599,芽,ガ,め,"bud, sprout, spear, germ",芽(め): sprout<br>発芽(はつが): burgeoning,1,8.0,艸,140.0,6.0,くさ・くさかんむり
600,英,エイ,はなぶさ,"England, English","英語(えいご): English (language)<br>英雄(えいゆう): (1) hero; heroine; great person (2) Eroica Symphony (Beethoven, 1804) (3) Heroic Polonaise (Chopin)<br>英文(えいぶん): (1) sentence in English; article in English; English text (2) English literature (study of)<br>英和(えいわ): English-Japanese (e.g. dictionary)<br>英字(えいじ): English letter; alphabetic character<br>和英(わえい): Japanese-English",4,8.0,艸,140.0,6.0,くさ・くさかんむり
601,菜,サイ,な,"vegetable, side dish, greens",野菜(やさい): vegetable,4,11.0,艸,140.0,6.0,くさ・くさかんむり
602,街,ガイ、カイ,まち,"boulevard, street, town",街頭(がいとう): in the street<br>市街(しがい): urban areas; the streets; town; city<br>街道(かいどう): highway (esp. one existing from the Edo period); main road<br>街(がい): .. street; .. quarter; .. district,1,12.0,行,144.0,6.0,ぎょう・ぎょうがまえ・いく・ゆきがまえ
603,衣,イ、エ,ころも、きぬ、-ぎ,"garment, clothes, dressing","衣装(いしょう): clothing; costume; outfit; garment; dress<br>衣料(いりょう): clothing<br>衣類(いるい): clothes; clothing; garments<br>衣服(いふく): clothes<br>浴衣(ゆかた): yukata (light cotton kimono worn in the summer or used as a bathrobe)<br>衣食住(いしょくじゅう): necessities of life (food, clothing & shelter)<br>粗衣(そい): simple clothes; humble clothes",2,6.0,衣,145.0,6.0,ころも・ころもへん
604,要,ヨウ,い.る、かなめ,"need, main point, essence, pivot, key to",重要(じゅうよう): important; momentous; essential; principal; major<br>必要(ひつよう): (1) necessary; needed; essential; indispensable (2) necessity; need; requirement<br>要求(ようきゅう): demand; firm request; requisition; requirement; desire<br>主要(しゅよう): chief; main; principal; major<br>需要(じゅよう): demand; request<br>要請(ようせい): (1) appeal; call for something; request; claim; demand (2) axiom<br>要因(よういん): main cause; primary factor<br>要素(ようそ): (1) component; factor; item (e.g. in list) (2) element (e.g. in array); member (e.g. data structure)<br>要望(ようぼう): demand for; request<br>要旨(ようし): point; essentials; gist; summary; fundamentals<br>要する(ようする): to need; to demand; to take; to require<br>要するに(ようするに): in a word; after all; the point is ...; in short ...; to put simply; the long and short of it is that ....<br>要領(ようりょう): (1) point; gist; essentials; tenets; outline (2) knack; trick; the ropes<br>要点(ようてん): gist; main point<br>要る(いる): to need; to want,3,9.0,襾,146.0,6.0,にし・かなめのかしら・おおいかんむり
605,覚,カク,おぼ.える、さ.ます、さ.める、さと.る,"memorize, learn, remember, awake, sober up",感覚(かんかく): sense; sensation; feeling; intuition<br>覚悟(かくご): resolution; resignation; readiness; preparedness<br>自覚(じかく): self-consciousness; self-awareness<br>覚え(おぼえ): memory; sense; experience<br>味覚(みかく): taste; palate; sense of taste<br>聴覚(ちょうかく): the sense of hearing<br>錯覚(さっかく): (1) optical illusion; hallucination (2) misapprehension; delusion<br>視覚(しかく): sense of sight; vision<br>覚える(おぼえる): (1) to memorize; to memorise; to commit to memory; to learn by heart; to bear in mind; to remember (2) to learn; to pick up; to acquire (3) to feel (4) to think; to regard<br>目覚める(めざめる): to wake up<br>目覚まし(めざまし): (1) alarm clock (2) opening one's eyes; keeping one's eyes open (3) type of candy given to a child after it wakes up from a nap<br>目覚ましい(めざましい): brilliant; splendid; striking; remarkable<br>覚める(さめる): (1) to wake; to wake up (2) to become sober; to sober up; to regain consciousness (e.g. after anaesthesia) (3) to come to one's senses; to be disillusioned<br>覚ます(さます): (1) to awaken (2) to disabuse (3) to sober up,3,12.0,見,147.0,7.0,みる
606,観,カン,み.る、しめ.す,"outlook, look, appearance, condition, view",観光(かんこう): sightseeing<br>観測(かんそく): observation<br>観客(かんきゃく): audience; spectator; spectators<br>観察(かんさつ): observation; survey<br>悲観(ひかん): pessimism; disappointment<br>観衆(かんしゅう): spectators; onlookers; members of the audience<br>客観(きゃっかん): object (as opposed to subject)<br>外観(がいかん): appearance; exterior; facade<br>観念(かんねん): (1) idea; notion; conception (2) sense (e.g. of duty) (3) resignation; preparedness; acceptance (4) observation and contemplation<br>直観(ちょっかん): intuition; instinct; insight; hunch<br>観点(かんてん): point of view<br>楽観(らっかん): optimism<br>主観(しゅかん): (1) subjectivity; subject; ego (2) one's personal opinion; one's own idea<br>観(かん): (1) look; appearance (2) spectacle; sight (3) observation meditation (4) outlook on ...; view of ...<br>観覧(かんらん): viewing,3,18.0,見,147.0,7.0,みる
607,訓,クン、キン,おし.える、よ.む、くん.ずる,"instruction, Japanese character reading, explanation, read",訓練(くんれん): practice; practise; training<br>教訓(きょうくん): lesson; precept; moral instruction<br>訓(くん): native Japanese reading (rendering) of a Chinese character,2,10.0,言,149.0,7.0,こと・げん・ごんべん・ことば
608,試,シ,こころ.みる、ため.す,"test, try, attempt, experiment, ordeal",試合(しあい): match; game; bout; contest<br>試験(しけん): examination; test; study; trial; experiment<br>試み(こころみ): trial; experiment<br>試す(ためす): to attempt; to test; to try out<br>試し(ためし): trial; test<br>試みる(こころみる): to try; to test<br>模試(もし): mock examination; trial examination,4,13.0,言,149.0,7.0,こと・げん・ごんべん・ことば
609,説,セツ、ゼイ,と.く,"rumor, opinion, theory",演説(えんぜつ): speech; address<br>説明(せつめい): explanation; exposition<br>小説(しょうせつ): novel; (short) story<br>解説(かいせつ): explanation; commentary; exposition; elucidation<br>説得(せっとく): persuasion<br>伝説(でんせつ): tradition; legend; folklore<br>社説(しゃせつ): editorial; leading article<br>学説(がくせつ): theory<br>説(せつ): theory<br>説く(とく): to explain; to advocate; to preach; to persuade<br>概説(がいせつ): general statement; outline,4,14.0,言,149.0,7.0,こと・げん・ごんべん・ことば
610,課,カ,,"chapter, lesson, section, department, division, counter for chapters (of a book)",課目(かもく): (school) subject; curriculum; course<br>課題(かだい): (1) subject; theme; issue; matter (2) homework; assignment (3) task; challenge; problem; question<br>課長(かちょう): section manager; section chief<br>課税(かぜい): taxation<br>課(か): (1) lesson (2) section (in an organization); division; department (3) counter for lessons and chapters (of a book)<br>課程(かてい): course; curriculum<br>日課(にっか): daily lesson; daily work; daily routine<br>課外(かがい): extracurricular,2,15.0,言,149.0,7.0,こと・げん・ごんべん・ことば
611,議,ギ,,"deliberation, consultation, debate, consideration","会議(かいぎ): meeting; conference; session; assembly; council; convention; congress<br>議員(ぎいん): member of the Diet, congress or parliament<br>議会(ぎかい): Diet; congress; parliament<br>議長(ぎちょう): chairman; speaker (e.g. of assembly); president (e.g. of council, senate, etc.); moderator (e.g. of a newsgroup)<br>協議(きょうぎ): conference; consultation; discussion; negotiation<br>決議(けつぎ): resolution; vote; decision<br>審議(しんぎ): deliberation<br>議論(ぎろん): argument; discussion; dispute; controversy<br>抗議(こうぎ): protest; objection<br>議題(ぎだい): topic of discussion; agenda<br>参議院(さんぎいん): House of Councillors<br>討議(とうぎ): debate; discussion<br>議決(ぎけつ): resolution; decision; vote<br>衆議院(しゅうぎいん): lower house; House of Representatives<br>不思議(ふしぎ): wonder; miracle; strange; mystery; marvel; curiosity<br>論議(ろんぎ): discussion; argument; debate<br>会議室(かいぎしつ): conference room; council room<br>異議(いぎ): objection; dissent; protest<br>議案(ぎあん): (1) legislative bill; measure (2) agenda item<br>議事堂(ぎじどう): Diet building<br>物議(ぶつぎ): public discussion; public criticism; controversy<br>合議(ごうぎ): consultation; conference",3,20.0,言,149.0,7.0,こと・げん・ごんべん・ことば
612,象,ショウ、ゾウ,かたど.る,"elephant, pattern after, imitate, image, shape, sign (of the times)","対象(たいしょう): target; object (of worship, study, etc.); subject (of taxation, etc.)<br>印象(いんしょう): impression<br>現象(げんしょう): phenomenon<br>気象(きしょう): (1) weather; climate (2) disposition; temperament<br>象徴(しょうちょう): symbol<br>抽象(ちゅうしょう): abstract<br>象(ぞう): elephant",2,12.0,豕,152.0,7.0,いのこ・いのこへん・ぶた
613,貨,カ,たから,"freight, goods, property",通貨(つうか): currency<br>貨物(かもつ): (1) cargo; freight (2) money or assets<br>外貨(がいか): (1) foreign currency; foreign money; foreign exchange (2) foreign goods; imported goods<br>硬貨(こうか): (1) coin (2) hard currency<br>貨幣(かへい): money; currency; coinage<br>雑貨(ざっか): miscellaneous goods; general goods; sundries<br>銅貨(どうか): copper coin,2,11.0,貝,154.0,7.0,かい・かいへん・こがい
614,貯,チョ,た.める、たくわ.える,"savings, store, lay in, keep, wear mustache",貯金(ちょきん): (bank) savings<br>貯蓄(ちょちく): savings<br>貯蔵(ちょぞう): storage; preservation,2,12.0,貝,154.0,7.0,かい・かいへん・こがい
615,費,ヒ,つい.やす、つい.える,"expense, cost, spend, consume, waste",消費(しょうひ): consumption; expenditure<br>費用(ひよう): cost; expense<br>経費(けいひ): expenses; cost; outlay<br>実費(じっぴ): actual expense; cost price<br>浪費(ろうひ): waste; extravagance<br>出費(しゅっぴ): expenses; disbursements<br>光熱費(こうねつひ): cost of fuel and lighting; cost of heat and electricity; energy bill; utility cost<br>費やす(ついやす): to spend; to devote; to waste<br>費(ひ): cost; expense,3,12.0,貝,154.0,7.0,かい・かいへん・こがい
616,賞,ショウ,ほ.める,"prize, reward, praise",賞金(しょうきん): prize; monetary award<br>入賞(にゅうしょう): winning a prize or place (in a contest)<br>賞(しょう): prize; award<br>鑑賞(かんしょう): appreciation (e.g. of art); aesthetic sense<br>賞品(しょうひん): prize; trophy<br>懸賞(けんしょう): offering prizes; winning; reward,2,15.0,貝,154.0,7.0,かい・かいへん・こがい
617,軍,グン,いくさ,"army, force, troops, war, battle",軍事(ぐんじ): military affairs<br>軍(ぐん): army; force; troops<br>軍隊(ぐんたい): army; troops<br>軍備(ぐんび): armaments; military preparations<br>軍艦(ぐんかん): warship; battleship<br>軍服(ぐんぷく): military or naval uniform,2,9.0,車,159.0,7.0,くるま・くるまへん
